Geschwindigkeit [km/h]		ca. Anhalteweg[m]
-------------------------------------------
0							0
1							0,31
2							0,64
3							0,99
4							1,36
5							1,75
6							2,16
7							2,59
8							3,04
9							3,51
10							4
11							4,51
12							5,04
13							5,59
14							6,16
15							6,75
16							7,36
17							7,99
18							8,64
19							9,31
20							10
21							10,71
22							11,44
23							12,19
24							12,96
25							13,75
26							14,56
27							15,39
28							16,24
29							17,11
30							18
31							18,91
32							19,84
33							20,79
34							21,76
35							22,75
36							23,76
37							24,79
38							25,84
39							26,91
40							28
41							29,11
42							30,24
43							31,39
44							32,56
45							33,75
46							34,96
47							36,19
48							37,44
49							38,71
50							40
51							41,31
52							42,64
53							43,99
54							45,36
55							46,75
56							48,16
57							49,59
58							51,04
59							52,51
60							54
61							55,51
62							57,04
63							58,59
64							60,16
65							61,75
66							63,36
67							64,99
68							66,64
69							68,31
70							70
71							71,71
72							73,44
73							75,19
74							76,96
75							78,75
76							80,56
77							82,39
78							84,24
79							86,11
80							88
81							89,91
82							91,84
83							93,79
84							95,76
85							97,75
86							99,76
87							101,79
88							103,84
89							105,91
90							108
91							110,11
92							112,24
93							114,39
94							116,56
95							118,75
96							120,96
97							123,19
98							125,44
99							127,71
100							130
